Code,Consignee Name,Customs Importer Classification,Primary Address,Delivery Address,primary_address,Primary Contact,Default UNLOCO
IPOSOLMNL,IPOLYMER SOLUTIONS CORPORATION,,,,,,PHMNL
DAISCIAFE,"DAIHAN SCIENTIFIC CO., LTD",,,,,,KRSEL
LUCINNMNL,LUCKY INNOVATIVE MANUFACTURING CORP.,,,,,,PHMNL
CENTRUPRGAFE,CENTRUMSPED S.R.O.,,,,,,CZPRG
MIZUNOSIN,MIZUNO SINGAPORE PTE LTD,,,,,,SGSIN
MAXGUATIH,"MAXCARE (GUANGZHOU) COSMETICS CO., LTD",,,,,,CNTIH
JCMEURDUS,JCM EUROPE GMBH.,,,,,,DEDUS
PHIAIRMNL2,PHILIPPINE AIRLINES INC,,,,,,PHMNL
TOPDISMNL1,TOPLINE88 DISTRIBUTION INC.,,,,,,PHMNL
NEXWISPJA,NEXUS WISE SDN BHD,,,,,,MYPJA
DANALLMNL,DANNIEVHER ALLAYNE REYES ATIENZA,,,,,,PHMNL
EZSHONHKG,EZSVS (HONGKONG) CO. LIMITED,,,,,,HKHKG
OUTSHAAFE,OUTSHAPED,,,,,,USORD
OLDBUSBFS,THE OLD BUSHMILLS DISTILLERY CO LTD,,,,,,GBBEL
BINCONCEB,BINOREZ CONSUMER GOODS TRADING,,,,,,PHCEB
ALSTRAMNL,ALSTOM TRANSPORT CONSTRUCTION,,,,,,PHMNL
IDEBRAGRU,IDEAL BRASIL IND E COM DE INFRA ESTRUTURA,,,,,,BRGRU
COSINDJKT,PT COSMAX INDONESIA,,,,,,IDJKT
HYOGOOSEL,HYOSUNG GOODSPRINGS INC.,,,,,,KRSEL
JUXHURDEZAFE,"JUXIN HURSBANDRY EQUIPTMENT CO., LTD",,,,,,CNDEZ
SKYSEASEL,SKYWORLD SEA AND AIR CO. LTD.,,,,,,KRSEL
CHRBERCEB,CHRISTIAN BERNARD TAN,,,,,,PHCEB
REBINTMNL,REBTRADE INTERNATIONAL CORPORATION,,,,,,PHMNL
BURDOKMNL,BURIZA DO KYANON CONSUMER GOODS TRADING,,,,,,PHMNL
ENSILISIN,ENSILIO,,,,,,SGSIN
ROTAIRCRO,ROTAIR S.P.A,,,,,,ITCRO
SAUAERJEH,SAUDIA AEROSPACE ENGNEERING IND.,,,,,,SAJEH
FEPPRIMNL1,"FEP (PRINT TOWN), INC.",,,,,,PHMNL
SYNTRAIEV,SYNERGY TRADING AND MARKETING PTE. LTD DISCON LTD,,,,,,UAIEV
CJFOODMNL,CJ FOODS PHILIPPINES CORP.,,,,,,PHMNL
BIGNETLAX,BIGLEAF NETWORKS INC.,,,,,,USLAX
NAYAXTLV,NAYAX LTD.,,,,,,ILTLV
SUCBEIMNL,SUCCESSMORE BEING (PHILLIPINES) LTD OPC.,,,,,,PHMNL
TAIGEMAFE,TAIS GEMI INSA VE TEKNOLOJI A.S.,,,,,,TRIST
ZHEZORZHE,"ZHEJIANG ZOREYA COSMETIC CO.,LTD.",,,,,,CNZHE
MOLELTCLL,MOLINO EL TRIUNFO S.A,,,,,,PECLL
APPELEMNL,APP ELECTRIC CORP,,,,,,PHMNL
RAINPHMNL,RAINPHIL INC.,,,,,,PHMNL
DCLLOGSDF,DCL LOGISTICS,,,,,,USLUI
PABENCCV,PABEN S.R.L,,,,,,ITCCV
SPADEBSCS,SPARTAN DE BOLIVIA SRL,,,,,,BOSCS
NLBARB,NLB CORPORATION,,,,,,USARB
SAFEAIMNL,SAFEAIR CORPORATION,,,,,,PHMNL
EDAMAMMNL,EDAMAMA,,,,,,PHMNL
XUYIOUZSN,"XU YI OU GE ELECTRONIC CO.,LTD",,,,,,CNZSN
DOLINTAFE,DOLPHIN INTERNATIONAL EXHIBITION LOGISTICS CO LTD,,,,,,TWTPE
GRAINTMEM,GRAINGER INTERNATIONAL INC. AKA GRAINGER GLOBAL SOURCING,,,,,,USMEM
GUAGESCAN,"GUANGZHOU GESU1 TRADING CO.,LTD.",,,,,,CNGGZ
LLZFOOAFE,LLZ FOODS CORPORATION,,,,,,PHNOP
PEOOFLAFE,PEOPLE OF LOGISTICS,,,,,,KRSEL
ISEGNIGOA,I SEGNI DEL TEMPO S.R.L.,,,,,,ITGOA
CHOPLAMNL,CHOEI PLASTIC WORLD PHILIPPINES INC.,,,,,,PHMNL
FRIUNIPSR,FRIOS SRL SOCIETA UNIPERSONALE,,,,,,ITPSR
UNICOMMNL1,UNIVERSAL COMMERCIAL CORPORATION,,,,,,PHMNL
HUPEDEHAM,HÜPEDEN & CO. GMBH & CO. KG,,,,,,DEHAM
JCALLEBIC,J. CALLEJA IMPORT & EXPORT LTD,,,,,,MTBIC
SANMIGMNL1,SAN MIGUEL FOODS INC.,,,,,,PHMNL
HONCYBHKG,HONGKONG CYBORWELL INTERNATIONAL LIMITED,,,,,,HKHKG
AAAPHAMNL,AAA PHARMA INC,,,,,,PHMNL
INNTECMUA,INNOVATIVE TECHNOLGY CORPORATION,,,,,,BNMUA
ASTLOGAFE,AST LOGISTICS SDN BHD,,,,,,MYKUL
PEGGASGE2,PEGORARO GAS TECHNOLOGIES SRL,,,,,,ITGE2
BIABISIZM,BIANCHI BISIKLET SANAYI VE TICARET LIMITED SIRKETI,,,,,,TRIZM
WESCITMNL,WESTSIDE CITY INC.,,,,,,PHMNL
TSUSHIZOS,TSUNEISHI GROUP (ZHOUSHAN) SHIPBUILDING INC.,,,,,,CNZOS
MIUSINMNLAFE,MIURA SINGAPORE CO PTE. LTD. - PHILIPPINE BRANCH,,,,,,PHMNL
NISPHIMNL,NISSAN PHILIPPINES INC.,,,,,,PHMNL
ROCITFAFE,ROCK IT FREIGHT CARGO LLC,,,,,,AEDXB
GENEAVSIN,GENERATION AV PTE LTD,,,,,,SGSIN
JIAGLO,"JIANGXI GLOBAL ENTERPRISE CO., LTD",,,,,,CNJNX
SHELEFAFE,SHENZHEN LE FEET INNOVATION TECH CO,,,,,,HKHKG
PLEPLAMNL,PLEXCO PLASTIC PRODUCTS INC.,,,,,,PHMNL
SANKINNGO,SANKO KINZOKU CO. LTD.,,,,,,JPNGO
EXPSOLMNL1,EXPEDIA SOLUTIONS SPECIALIST INC,,,,,,PHMNL
TOPMARMNL1,TOPCOMS MARKETING CORPORATION,,,,,,PHMNL
EXPRESLAX,"EXPRESS, LLC.",,,,,,USLAX
MARMILSCK,MARIA MILAGROSA GABRIEL NINO,,,,,,USSCK
REEMOLXFW,REEL MÖLLER GMBH,,,,,,DEXFW
YAZKOTISL,YAZAKI KOTOZUKURI HUB TÜRKIYE (YKH-T),,,,,,TRIST
NOVVENMNL,NOVAPOWER VENTURES INC,,,,,,PHMNL
COMINDAFE,COMPAK INDUSTRIAL MACHINERY TRADING,,,,,,PHMNL
MCAFOOMNL,MCASIA FOODTRADE CORPORATION,,,,,,PHMNL
UNIROBCEB1,UNIVERSAL ROBINA CORPORATION,,,,,,PHCEB
MAOTECTSN,"MAOHE(TIANJIN) TECHNOLOGIES CO, LTD",,,,,,CNTNJ
WASTECAFE,"WASSER TECH CO.,LTD.",,,,,,THBKK
PANCOLHKG,PANASONIC HONG KONG CO.LTD.,,,,,,HKHKG
JCMEURFRA1,JCM EUROPE GMBH,,,,,,DEFRA
STAINTNUE,STABILO INTERNATIONAL GMBH,,,,,,DENUE
SOFCORMNL,SOFITEC CORP.,,,,,,PHMNL
OCTCHEMNL,OCTOEIGHT CHEMICAL CORPORATION,,,,,,PHMNL
ROSCONMFM,"ROSE CONTAINERLINE, INC",,,,,,MOMFM
CDGPACMNL,CDG PACIFIC CONSOLIDATION AND TRADING INC,,,,,,PHMNL
STOOFDMNL,STONE OF DAVID CORPORATION,,,,,,PHMNL
VERPHIAFE,VERSA GROUP PHIL. CORP.,,,,,,PHMNL
DSESUPDVO,DSE SUPPLIES INC.,,,,,,PHDVO
J4LDA,J4 S.R.O,,,,,,CZLDA
VOROPTLAX,VORTEX OPTICS,,,,,,USLAX
GUADESCAN,"GUANGZHOU DESHUN AUDIO CO., LTD.",,,,,,CNGGZ
NORGALARN1,NORDISKA GALLERIET FURNITURE AB,,,,,,SEARN
DIVIRVBNE,DIVINA IRVIN,,,,,,AUBNE
TSYINDMNL,T'SYS INDUSTRIAL CONTROLS INC.,,,,,,PHMNL
GICODABCN,GICODA S.L,,,,,,ESBCN
SEAAIRCDG,SEAFRIGO AIRFREIGHT,,,,,,FRCDG
ARTINSTAFE,ARTSPLUS INSTITUTE OF CONTEMPORARY ARTS,,,,,,JPTYO
ENAWINAFE,ENABLING WIN INDIA PRIVATE LIMITED,,,,,,INBOM
BRAFORDXB,BRANDS FOR LESS (BFL) FZE,,,,,,AEDXB
AIRSEATPE,AIR SEA WORLDWIDE TAIWAN LTD,,,,,,TWTPE
PALTRA,PALAU TRADING CO,,,,,,PWROR
KORHYDPUS,"KOREA HYDRAULIC CO., LTD.",,,,,,KRPUS
WANREFSHA,WANXIANG REFRIGERATION (SHANGHAI) CO.LTD,,,,,,CNSGH
GAPRINMNL,GA PRINTING INCORPORATED,,,,,,PHMNL
OMMANUMNL1,"O.M MANUFACTURING PHILIPPINES, INC.",,,,,,PHMNL
PURONICPT,PURPLE ONION CREATIVE T/A ESTABLISHMENT,,,,,,ZACPT
FOOBEVMNL,"FOOD & BEVERAGE, INC.",,,,,,PHMNL
CALFOOMMX,CALDIC FOOD SERVICE & RETAIL,,,,,,SEMMA
SUDEXTLL,SUDEX,,,,,,EETLL
NEWCITMNL,NEW CITY COMMERCIAL CORPORATION,,,,,,PHMNL
SINSHAAFE,SINOTRANS SHANGHAI WELL-TRANS INTERNATIONAL LOGISTICS CO. LTD,,,,,,CNSHA
JPOPTIKHH,JP OPTICAL PTE LTD,,,,,,TWKHH
SHAGOOSHA1,"SHANGHAI GOODHOPE CO.,LTD.",,,,,,CNSGH
QURGERNUE,QURVO GERMANY GMBH,,,,,,DENUE
ORYTECNDA,ORYGGI TECHNOLOGIES PRIVATE LIMITED,,,,,,INNDA
PROGOVAFE,PROVINCIAL GOVERNMENT OF QUIRINO,,,,,,PHMNL
NEWTONMNL,NEWTON,,,,,,PHMNL
ALLALKKWI,"ALLOALOAH ALKUWAITYAH CO.,",,,,,,KWKWI
TBSCONNAV,TBS CONTAINER YARD OPC,,,,,,PHNAV
TOPAGRMNL,TOP AGRICARE SUPPLIES INC,,,,,,PHMNL
SENCARPRG,SENT CARGO S.R.O,,,,,,CZPRG
CAMPHAMNL1,"CAMBER PHARMACEUTICALS , INC.",,,,,,PHMNL
KOVVEHAFE,KOVICO(KOREA VEHICLE & INDUSTRY CO. LTD,,,,,,KRSEL
LUFTECGES,LUFTHANSA TECHNIK PHILS,,,,,,PHGES
ROGPOULAX,ROGIER POULTRY SUPPLIES,,,,,,USLAX
CHRISTHKG,CHRISTIE'S HONG KONG,,,,,,HKHKG
HUAJINAFE,HUANGYAN JINZHUO PLASTIC MOULD FACTORY,,,,,,CNSUH
JINZHOJHA,JINHUA ZHONGYI FURNITURE CO.LTD.,,,,,,CNJHA
MACALPMNL,MAC ALPHA OMEGA IND SALES INC.,,,,,,PHMNL
BEYGIDIST,BEYAZ GIDA SAN. VE DıŞ TIC. LTD. STI,,,,,,TRIST
KINFRELAX,KING FREIGHT NEW YORK INC.,,,,,,USLAX
TREINDCEB,TRESCORE INDUSTRIAL SOLUTIONS CORP.,,,,,,PHCEB
SOLINDDEL,SOLUM INDIA HIGHTECH PVT LTD,,,,,,INDEL
HUMSINAFE,HUMANS SINCE 1982,,,,,,SESTO
CASFAMYDA,CASELLA FAMILY BRANDS,,,,,,AUYDA
MUXORIMNL,MUX ORIENTAL HOME INC,,,,,,PHMNL
TOORDEBAH,TO ORDER OF AL SALAM BANK B.S.C,,,,,,BHBAH
LEAOFFMNL,LEAPED-OFFICE TIRES TRADING,,,,,,PHMNL
FLEPROLIS,"FLEX2000-PRODUTOS FLEXIVEIS, S,A.RUA ENG.",,,,,,PTLIS
ALSTRAMNL1,"ALSTOM TRANSPORT CONSTRUCTION PHILIPPINES, INC.",,,,,,PHMNL
PLUCARZLO,PLUS CARGO MEXICO G.R. COMPANY,,,,,,MXZLO
DEPOFTMNL2,DEPARTMENT OF TRANSPORTATION,,,,,,PHMNL
CENDISMNL,"CENTURY DISTRIBUTION SYSTEMS, INC.",,,,,,PHMNL
DTPROJDFW,DT PROJECT AMERICA,,,,,,USDFW
SEVPRODWC,SEVILLE PRODUCTS (L.L.C) (BRANCH),,,,,,AEDWC
NGSTRAAFE,NGSTAR TRADING,,,,,,PHMNL
VMCHS,V & M,,,,,,USCHS
PPACUSCEB,PPA CUSTOMS BROKERAGE,,,,,,PHCEB
KIMFOOCEB,"KIMES FOOD INTERNATIONAL, INC.",,,,,,PHCEB
NASINTMNL,NASACO INTERNATIONAL INC,,,,,,PHMNL
PHILPAMNL1,PHILPACKAGING CORPORATION,,,,,,PHMNL
WINEXPLGB,WINN EXPO SOLUTIONS,,,,,,USLGB
GRACRUMNL,GRAND CRU WINES AND SPIRITS INC.,,,,,,PHMNL
ALLSTINYC,ALLSTILES INC.,,,,,,USNYC
HUBNETAFE,"HUBNET CO ., LTD",,,,,,JPTYO
IVVITAARE,IVV ITALIA SRL,,,,,,ITARE
ZIXCOLBOG,ZIX COLOMBIA S.A.S,,,,,,COBOG
LPCOSMSEL,"L&P COSMETICS CO.,LTD.",,,,,,KRSEL
SAGMETMNL,SAGARA METRO PLASTICS INDUSTRIAL CORPORATION,,,,,,PHMNL
SHAEASQDG,"SHANDONG EASENT BIOTECHNOLOGY GROUP CO., LTD",,,,,,CNQDG
GUARUISAD,"GUANXIAN RUICHANG TRADING CO.,LTD",,,,,,CNSAD
NOBSUPBOS,NOBLE SUPPLY AND LOGISTICS,,,,,,USBOS
CHALOGAFE,"CHATTA LOGISTICS CO.,LTD.",,,,,,THBKK
EMPOLMNL,EM-POL CORPORATION,,,,,,PHMNL
ALBGDLMNL,ALBORI G AND D LABORATORY TESTING,,,,,,PHMNL
BOTTERJLO,BOTTER,,,,,,ITJLO
SHEXIDSZX,"SHENZHEN XIDESHENG BICYCLE CO.,LTD.",,,,,,CNSNZ
GOEURODTM,GO EUROPE GMBH,,,,,,DEDTM
MURPHIMNL,"MURSMEDIC PHILIPPINES, INC.",,,,,,PHMNL
SHABASSHG,"SHANGHAI BA-SHI YUE XIN LOGISTICS DEVELOPMENT CO.,LTD",,,,,,CNSHG
SUMWATMNL,SUMMA WATER RESOURCES INC,,,,,,PHMNL
CHRDIOMEA,CHRISTIAN DIOR,,,,,,FRMEA
SHAWOLSHA,SHANGHAI WOLFIX NEW MATERIALS CO. LTD,,,,,,CNSGH
REEINTCEB,REES INTERNATIONAL TRADING CORPORATION,,,,,,PHCEB
SENYEHMNL,"SEN YEH CONSTRUCTION CO., LTD",,,,,,PHMNL
EMBERMLE,EMBER GROUP PVT LTD,,,,,,MVMLE
DOSPHIQZT,DOST - PHILIPPINE NUCLEAR RESEARCH INSTITUTE,,,,,,PHQZT
WORADVMNL,WORLDS ADVOCACY HARDWARE TRADING,,,,,,PHMNL
EGGINTSHH,EGGWAY INTERNATIONAL ASIA PRIVATE LIMITED,,,,,,INSHH
TBKMANMNL,TBK MANUFACTURING CORPORATION,,,,,,PHMNL
JTRADEMNL,J TRADE ON INC.,,,,,,PHMNL
REMOTEAFE,REMOTES,,,,,,TWTPE
DIEINTAFE,DIETL INTERNATIONAL SERVICES,,,,,,USNYC
XHICONCEB,XHINWA CONSUMER GOODS WHOLESALING,,,,,,PHCEB
TADMARMNL,TADCHEM MARKETING,,,,,,PHMNL
AXETFLMNL,A-XET FLOORCOVERING PTE. LTD,,,,,,PHMNL
SEMPROMIA,"SEMAJ PRODUCTS U.S.A., LLC",,,,,,USMIA
COLDESAMS,COLLECTION DESIGN B.V.,,,,,,NLAMS
FLABRASIN,FLAMINGO BRANDS PTE LTD,,,,,,SGSIN
TALIMPMEM,"TALBOTS IMPORT, LLC",,,,,,USMEM
PATGLOCDO,PATREO GLOBAL MARKETING CO.,,,,,,PHCDO
ISANAKPNI,ISAMU NAKASONE'S STORE,,,,,,FMPNI
SANTRAAFE,SANHAO TRADING,,,,,,PHMNL
TORSOLMNL,TORISHIMA SERVICE SOLUTIONS ASIA PTE. LTD. (PHILIPPINE BRANCH),,,,,,PHMNL
XNGLOVSEL,XN GLOVE,,,,,,KRSEL
HILPROMAN,HILLSTONE PRODUCTS LTD,,,,,,GBMNC
VPSEQUBKK,"V.P.S. EQUIPMENT CO.,LTD",,,,,,THBKK
AGPSPEMNL,AG P SPECIAL ECONOMIC ZONE,,,,,,PHMNL
SPAEXPTIW,SPACE EXPLORATION TECHNOLOGIES CORP (SPACEX),,,,,,USTIW
GOLRAYMNL,GOLDEN RAYS CONSUMER GOODS TRADING,,,,,,PHMNL
LEINAVMNL,LEI NAVARRO,,,,,,PHMNL
SEGLOGTYO,"SEGA LOGISTICS SERVICE CO., LTD.",,,,,,JPTYO
MAYBAHMNL,MAYNILAD BAHAY TORO WRF,,,,,,PHMNL
MICBIOMNL,MICRO BIOLOGICAL LABORATORY INC,,,,,,PHMNL
SHEZHASZX,SHENZHEN ZHAOYANG,,,,,,CNSNZ
TRANSWAFE,TRANSWORLD,,,,,,ILHFA
INGYSEBOG,INGENIERIA Y SERVICIO ESPECIALIZADO DE COMUNICACIONES S.A. ISEC S.A.,,,,,,COBOG
LISTUPJHB,LISTEN UP SDN BHD,,,,,,MYJHB
KUESHAAFE,KUEHNE + NAGEL LTD,,,,,,CNSHA
EVJOINHAN,EV GROUP JOINT STOCK COMPANY,,,,,,VNHAN
ENDPHITAU,ENDRESS+HAUSER PHILIPPINES INC,,,,,,PHTAU
SHACHUSHGAFE,SHANGHAI CHUNG HEE INTERNATIONAL CARGO TRANSPORT,,,,,,CNSHG
EAGCONMNL,"LAGMAN, MARY JEAN JUANTA",,,,,,PHMNL
NINLUCZHE,NINGBO LUCKYSTAR E-COMMERCE CO.LTD,,,,,,CNZHE
CLPCHETIW,"CLP CHEMICALS, INC.",,,,,,USTIW
AMAGRACEB,AMAZING GRACE CHRISTIAN FELLOWSHIP,,,,,,PHCEB
KRYINTCEB,KRYPTON INTERNATIONAL RESOURCES SALES & RESOURCES INC.,,,,,,PHCEB
CANSHEWNZ,CANGNAN SHENGFENG COTTON PRODUCTS CO.LTD,,,,,,CNWNZ
ADVNATMNL,ADVANCED NATURAL NUTRITION,,,,,,PHMNL
HOTDEVAFE,HOTAI DEVELOPMENT TECHNOLOGY CO. LTD,,,,,,TWTPE
SHIMINSJW,"SHIJIAZHUANG MINGSHENG IMPORT & EXPORT CO.,LTD.",,,,,,CNSJZ
MEGIMPTDD,MEGATECH IMPORT EXPORT KEDRIN CRISTIAN CARTAGENA MOLLINEDO,,,,,,BOTDD
SIFASICHG,SIFA ASIA PTE LTD,,,,,,SGCHG
TREWINMEL,TREASURY WINE ESTATES VINTNERS LIMITED,,,,,,AUMEL
DEDFURMNL,DEDIPO FURNITURE DEPOT,,,,,,PHMNL
FIGBAIBJS,"FIGURE BAI (BEIJING) SCIENCE AND TECHNOLOGY CO.,LTD.",,,,,,CNBJS
ANTEQUSUH,ANTUNES EQUIPMENT MFG CO. LTD,,,,,,CNSUH
JANEMECEB,JANE E. MELENDRES,,,,,,PHCEB
LOGFREMNL,LOGIX FREIGHT SOLUTIONS INC.,,,,,,PHMNL
MCQINDMNL,MCQ INDUSTRIAL REFRIGERATION INC,,,,,,PHMNL
KORWORSAV,KORU WORKS,,,,,,USSAV
MASBOLSRZ,MASTERLINE GROUP - BOLIVIA,,,,,,BOSRZ
BROINCMNL,BROTHER PHILIPPINES INC.,,,,,,PHMNL
PANGLOHAN,"PANDAN GLOBAL CO.., TLD.",,,,,,VNHAN
NINQIANGB,"NINGBO QIANYAO SUPPLY CHAIN CO.,LTD.",,,,,,CNNBO
KONBEAMNL,KONVY BEAUTY AND THE BEST DEAL,,,,,,PHMNL
ALSADVVAL,ALSTOM ADVANCED WAREHOUSE (AAW) TMF OPERATING,,,,,,FRVAL
ARMSOCHAN,THE ARMY SOCIALIST REPUBLIC OF VIETNAM,,,,,,VNHAN
HYVSOLSMF,HYVE SOLUTIONS CORPORATION,,,,,,USSAC
MGRSEALAX,"MGR SEATING TECHNOLOGY, INC.",,,,,,USLAX
BERVINMEL,BERTON VINEYARDS PTY LTD.,,,,,,AUMEL
NNACONCEB,NNANA CONSUMER GOODS TRADING,,,,,,PHCEB
REIPHIMNL,"REIMAGE PHILIPPINES, INC.",,,,,,PHMNL
SHI3DTAFE,"SHINING 3D (HK) CO., LTD",,,,,,HKHKG
VALPHABMG,VALUEMED PHARMA S.R.L.,,,,,,SMBMG
DONTOTHAN,DONGJIN TOTAL MOTOR SOLUTIONS CO.LTD,,,,,,VNHAN
JINENEAFE,JINKO ENERGY STORAGE TECHNOLOGY CO. LTD,,,,,,PHMNL
STAGAMMNL,STAR GAMING CORPORATION,,,,,,PHMNL
ZEELECMNL,ZE ELECTRONIC MANUFACTURING SERVICES,,,,,,PHMNL
TWSOLUMNL,TW SOLUTIONS CORP.,,,,,,PHMNL
SHEZHIAFE,"SHENZHEN ZHIXITONG INDUSTRIAL TRADING CO., LTD",,,,,,CNSNZ
CHRDIOSYD,CHRISTIAN DIOR AUSTRALIA PTY LTD.,,,,,,AUSYD
ZHEYILJAX,"ZHEJIANG YILI MACHINERY AND ELECTIRC CO.,LTD.",,,,,,CNJAX
KARPROBEL,KARDEX PRODUKTION DEUTSCHLAND GMBH,,,,,,DEBEL
GICCONMNL,GICAR CONSTRUCTIONS INC.,,,,,,PHMNL
KENRETNYC,KENTUCKY RETAIL,,,,,,USNYC
GAIGRACEB,GAISANO GRAND ARGAO,,,,,,PHCEB
PRIWASMNL,PRIME WASTE SOLUTIONS PAMPANGA INC,,,,,,PHMNL
WIZLOGDXB,WIZ LOGTEC FREIGHT LLC,,,,,,AEDXB
WALDIGLAX,"WALKER DIGITAL TABLE SYSTEMS, LLC",,,,,,USLAX
ROHSCHMNL,ROHDE & SCHWARZ (PHILIPPINES) INC.,,,,,,PHMNL
DIACALMNL1,DIANE C. ALCANTARA,,,,,,PHMNL
ROSJOBMNL,"ROSANES, JOBERT CORNELIO",,,,,,PHMNL
WUXREPYXS,"WUXI REPS POWER TECHNOLGY CO.,LTD.",,,,,,CNYXS
RAMCOMWVB,RAMPOINT COMMUNICATIONS PTY,,,,,,NAWVB
COLGALAFE,COLUMNS GALLERY,,,,,,KRICN
ENVIROMNL,ENVIROTERM CORPORATION,,,,,,PHMNL
DUTQARAFE,DUTCH QARGO BV,,,,,,NLNIB
DWSOLASFO,DW SOLAR INC,,,,,,USSFO
AIRBUSICN,AIR BUSAN CO. LTD.,,,,,,KRICN
GULBEVDXB,GULF BEVERAGES FZE,,,,,,AEDXB
RNRSUPMNL,RNR SUPPORT SYSTEMS INCORPORATED,,,,,,PHMNL
DYRCONBTG,DYRA CONSTRUCTION,,,,,,PHBTG
NOBILICDG,NOBILIS S.A,,,,,,FRCDG
HARBRO,HARDING BROTHERS RETAIL LTD.,,,,,,USMIA
NEXSPADXB,NEXT SPACE LLC,,,,,,AEDXB
NEXPOLYUL,"NEXGEN POLYMERS, INC.",,,,,,CAMTR
LNWGAMMFM,LNW GAMING ASIA LIMITED,,,,,,MOMFM
LUCCONMNL,"DE MESA, BEN DE LEON",,,,,,PHMNL
WELFARMNL,WELLISA FARMS CORPORATION,,,,,,PHMNL
SPIPOWMNL,SPI POWER PLANT,,,,,,PHMNL
KANWELBCN,KANGAROO WELDING S.L,,,,,,ESBCN
GREENMMNL,GREENMILE,,,,,,PHMNL
DFDENTMNL,"BIHASA, MILAFLOR NAZARIGA",,,,,,PHMNL
PETROLMNL,PETROLIFT INC,,,,,,PHMNL
BROKKSFT,BROKK AB,,,,,,SESFT
BEMLBOAFE,BEML LIMITED,,,,,,INBOM
FBINTEJFK,FB INTERNATIONAL,,,,,,USJFK
NAVSUPOLO,NAVAL SUPPLY DEPOT,,,,,,PHOLO
DELELETOY,DELTA ELECTRONIC JAPAN INC.,,,,,,JPTOY
KORFOUAFE,THE KOREA FOUNDATION,,,,,,KRICN
MINCIRPEN,MINI CIRCUITS TECHNOLOGIES MALAYSIA SDN. BHD,,,,,,MYPEN
RGBAFE,RGB LTD,,,,,,PHMNL
STEBALIAH,STEFFANIE BALL ENGOLD,,,,,,USHOU
TETPAKMNL,TETRA PAK PHILIPPINES INC,,,,,,PHMNL
HITELEMNL,HITACHI ELEVATORS PHILS INC,,,,,,PHMNL
LEAENVMNL1,LEADS ENVIRONMENTAL HEALTH PRODUCTS CORP,,,,,,PHMNL
SECGLOCEB,SECORE GLOBAL INC.,,,,,,PHCEB
ECDXMEMNL,EC-DX MEDICAL TRADING CO.,,,,,,PHMNL
LLCPROMOW,"LLC ""PROJECT CENTER-RU""",,,,,,RUMOW
PLTPLACHW,PLT - PLANTATION ROAD (STUDIO ELLA),,,,,,HKCHW
BEIRONTSN,"BEIJING RONGRUI-CENTURY SCIENCE & TECHNOLOGY CO., LTD.",,,,,,CNTNJ
UNIMEXMNL1,UNIMEX,,,,,,PHMNL
SPOTECAFE,"SPOLARPV TECHNOLOGY CO., LTD",,,,,,CNSGH
HOTLOBPER,HOTEL LOBBY RUM PTY. LTD.,,,,,,AUPER
ASSFRAMNL,"ASSAD, FRANCESCA MONIQUE FERNANDEZ",,,,,,PHMNL
SOLGOPMNL,"SOL-GO PHILIPPINES, INC",,,,,,PHMNL
UNIGENMNL,UNITED GENERAL MDSE AND AGRI PRODUCTS INC.,,,,,,PHMNL
UNIOFECRM,UNIVERSITY OF EASTERN PHILIPPINES,,,,,,PHCRM
GREAPPMNL1,GREAT APPLE SALES AND GENERAL MERCHANDISING INC,,,,,,PHMNL
TLDASIHKG1,TLD ASIA LIMITED,,,,,,HKHKG
HOSENTMNL,HOSPITALTY ENTERPRISE RESOURCES CORPORATION,,,,,,PHMNL
EMAGIAGOA,EMAR GIANNOBI SRL,,,,,,ITGOA
DONFEIHUA,DONGGUAN FEIMOUS TEXTILE TECHNOLOGY CORP. LTD.,,,,,,CNHUA
TTNFOOHAN,"TTN FOODSTUFF TECHNOLOGY MATERIALS CO., LTD.",,,,,,VNHAN
CROCASIAH,CROWN CASTLE,,,,,,USHOU
BVRTRAMNL,BVR TRAVEL AND TOUR,,,,,,PHMNL
TELEPHCEB,TELEPHILIPPINES INCORPORATED,,,,,,PHCEB
GLOBALMNL1,GLOBALINK,,,,,,PHMNL
TRUHAISGN,TRUONG HAI AGRICULTURE JOINT STOCK COMPANY,,,,,,VNSGN
HUEPEDHAM,HUEPEDEN & CO. (GMBH & CO.) KG,,,,,,DEHAM
JESSENAFE,J ESSENTIALZ MARKETING CORPORATION,,,,,,PHMNL
FLUENETPE,FLUENCE ENERGY TAIWAN LTD.,,,,,,TWTPE
WILHOMLAX,WILDHOME HOME,,,,,,USLAX
SUNFOUHKG,SUNPRIDE FOUNDATION,,,,,,HKHKG
LOBRUMMNL,LOBBY RUM INC.,,,,,,PHMNL
FUYPRESGN,FUYU PRECISION COMPONENT CO. LTD.,,,,,,VNSGN
SANCOLMNL,SANDEN COLD CHAIN SYSTEM PHILIPPINES INC.,,,,,,PHMNL
GRUTRAUIO,GRUPO TRANSOCEANICA,,,,,,ECUIO
BESPACHKG2,BEST PACIFIC TEXTILE LIMITED,,,,,,HKHKG
MMSDEPVZA,MMSP VALENZUELA DEPOT,,,,,,PHVZA
SAUROSVCE,SAURO ROSSI SRL,,,,,,ITVCE
WUXZITJSU,"WUXI ZITANG PACKAGING AND PRINTING CO., LTD.",,,,,,CNJSU
AVECECMNL,"AVERGONZADO, CECILLE MANGAT",,,,,,PHMNL
FIVCONDUS,FIVE CONTINENT LINE GMBH,,,,,,DEDUS
