"Code","Shipper Name","Exporter Category","Default Currency","Country","Default Incoterm","Primary Address","Pick Address","Primary Contact","Default UNLOCO"
"GUAREDCAN1","GUANGZHOU RED PINE MEDICAL INSTRUMENT CO.,LTD.","","","","","","","","CNGGZ"
"CHABAOCZX","CHANGZHOU BAOJIE ELECTRIC MOTORS MANUFACTURING CO.,LTD.","","","","","","","","CNCZX"
"SPIPOWMNL","SPI POWER PLANT","","","","","","","","PHMNL"
"RAF3PLAFE","RAFALOG 3PL","","","","","","","","AUSYD"
"SAMPIESFE","SAMPIERANA SPA","","","","","","","","ITSFE"
"TIAXURTSN","TIANJIN XURUI HENGDA INTERNATIONAL TRADING CO., LTD.","","","","","","","","CNTNJ"
"NINTRUNGB","NINGBO TRUSTLINK CO.,LTD.","","","","","","","","CNNBO"
"GUASUKCOZ","GUANGDONG SUKE PATE SANITARY TECHNOLOGY CO., LTD.","","","","","","","","CNCOZ"
"FOSBRECAN","FOSHAN BRESPALIN CO.LTD","","","","","","","","CNGGZ"
"GREENMMNL","GREENMILE","","","","","","","","PHMNL"
"BROKKSFT","BROKK AB","","","","","","","","SESFT"
"JEDINTBOS","JEDWARDS INTERNATIONAL, INC.","","","","","","","","USBOS"
"BEMLBOAFE","BEML LIMITED","","","","","","","","INBOM"
"NAVSUPOLO","NAVAL SUPPLY DEPOT","","","","","","","","PHOLO"
"DELELETOY","DELTA ELECTRONIC JAPAN INC.","","","","","","","","JPTOY"
"KORFOUAFE","THE KOREA FOUNDATION","","","","","","","","KRICN"
"HANSALDVN","HANSALOY LLC","","","","","","","","USDVN"
"HUSIMSSHA1","HUSKY IMS (SHANGHAI) CO LTD","","","","","","","","CNSGH"
"RGBAFE","RGB LTD","","","","","","","","PHMNL"
"SUPPUMSYD","SUPERIOR PUMP TECHNOLOGIES","","","","","","","","AUSYD"
"BETWORLGB","BETTER WORLD BOOKS","","","","","","","","USLGB"
"CUSESSNYC","CUSTOM ESSENCE","","","","","","","","USNYC"
"SUNELEMNL2","SUNON ELECTRONICS PHILIPPINES CORP","","","","","","","","PHMNL"
"SECGLOCEB","SECORE GLOBAL INC.","","","","","","","","PHCEB"
"ECDXMEMNL","EC-DX MEDICAL TRADING CO.","","","","","","","","PHMNL"
"STAELEAFE","STA. ELENA GOLF & COUNTRY CLUB","","","","","","","","PHLGU"
"OCTACTAMS","OCTO ACTUATUORS GMBH","","","","","","","","DEAMS"
"AESOLAAFE","AE SOLAR CO., LTD","","","","","","","","CNSHG"
"HUNKAICSX","HUNAN KAIDA SCIENTIFIC INSTRUMENTS CO.,LTD","","","","","","","","CNCSH"
"APELINSHA","APEX LINK LOGISTICS (SHANGHAI) CO.,LTD.","","","","","","","","CNSGH"
"JUPLOGBKK","JUPITER LOGISTICS (THAILAND) CO. LTD.","","","","","","","","THBKK"
"PLTPLACHW","PLT - PLANTATION ROAD (STUDIO ELLA)","","","","","","","","HKCHW"
"INTNAVMNL1","INTERSHIP NAVIGATION TRAINING CENTER, INC.","","","","","","","","PHMNL"
"BEIRONTSN","BEIJING RONGRUI-CENTURY SCIENCE & TECHNOLOGY CO., LTD.","","","","","","","","CNTNJ"
"VICTEXICN","VICTORIA TEXTILE LTD","","","","","","","","KRICN"
"STEPHIMNL2","STEPAN PHILIPPINES QUATERNARIES, INC","","","","","","","","PHMNL"
"UNIMEXMNL1","UNIMEX","","","","","","","","PHMNL"
"SPOTECAFE","SPOLARPV TECHNOLOGY CO., LTD","","","","","","","","CNSGH"
"DELIND8GT","DELFINGEN INDUSTRY","","","","","","","","FR8GT"
"HOTLOBPER","HOTEL LOBBY RUM PTY. LTD.","","","","","","","","AUPER"
"SOLGOPMNL","SOL-GO PHILIPPINES, INC","","","","","","","","PHMNL"
"GLOHEASEA","GLOBAL HEALTH LAB","","","","","","","","USSEA"
"TESTECICD","TESCA TECHNOLOGIES PRIVATE LIMITED","","","","","","","","INICD"
"XIAUNIXMN","XIAMEN UNION CENTURY IMP. & EXP. CO., LTD","","","","","","","","CNXAM"
"GREAPPMNL1","GREAT APPLE SALES AND GENERAL MERCHANDISING INC","","","","","","","","PHMNL"
"STEINTHKG","STELLA INTERNATIONAL TRADING (MACAO COMMERCIAL OFF","","","","","","","","HKHKG"
"TLDASIHKG1","TLD ASIA LIMITED","","","","","","","","HKHKG"
"HOSENTMNL","HOSPITALTY ENTERPRISE RESOURCES CORPORATION","","","","","","","","PHMNL"
"EMAGIAGOA","EMAR GIANNOBI SRL","","","","","","","","ITGOA"
"HI5SOLDVO","HI5 SOLUTIONS OPC","","","","","","","","PHDVO"
"HANYIDHGH","HANGZHOU YIDEXIN TECHNOLOGY CO., LTD","","","","","","","","CNHAZ"
"KASMAKNOP","KASLER MAKINE A.S","","","","","","","","TRSIC"
"JBMUSIMNL1","JB MUSIC & SPORTS INC.","","","","","","","","PHMNL"
"NOREXPMNL","NORTHWING EXPORT CORPORATION","","","","","","","","PHMNL"
"TTNFOOHAN","TTN FOODSTUFF TECHNOLOGY MATERIALS CO., LTD.","","","","","","","","VNHAN"
"ZHOAILCAN","ZHONGSHAN AI LI PU ELECTRICAL APPLIANCE CO.,LTD","","","","","","","","CNGGZ"
"JINSAAQDG","JINAN SAAO MACHINERY CO., LTD.","","","","","","","","CNQDG"
"GLOBALMNL1","GLOBALINK","","","","","","","","PHMNL"
"YIYPLAKAP","YIYANG PLASTIC PRODUCTS CO LTD","","","","","","","","CNKAP"
"STUMVBAFE","STUDIO MV AND BUILDERS INC.","","","","","","","","PHMNL"
"VIAPHASJU","VIATRIS PHARMACEUTICALS LLC","","","","","","","","PRSJU"
"YANRUIGUT","YANGJIANG RUI HONG INDUSTRY & TRADE CO LTD","","","","","","","","CNGUT"
"WARABKCEB","WAREHOUSE A AND B KY LEE HOLDINGS INC","","","","","","","","PHCEB"
"JESSENAFE","J ESSENTIALZ MARKETING CORPORATION","","","","","","","","PHMNL"
"AGEUNISCL","AGENCIAS UNIVERSALES S.A.","","","","","","","","CLSCL"
"FLUENETPE","FLUENCE ENERGY TAIWAN LTD.","","","","","","","","TWTPE"
"SUNFOUHKG","SUNPRIDE FOUNDATION","","","","","","","","HKHKG"
"LOBRUMMNL","LOBBY RUM INC.","","","","","","","","PHMNL"
"CASBEETNA","CASSMAN BEER BREWING EQUIPMENT","","","","","","","","CNJNA"
"SUNPROTPE","SUNNY PRO CO. LTD.","","","","","","","","TWTPE"
"RHEAUTUTO","RHEON AUTOMATIC MACHINERY CO.,LTD.","","","","","","","","JPUTO"
"JIAHUASUY","JIANGSU HUAMAI NEW MATERIALS CO.,LTD.","","","","","","","","CNSUY"
"SAUROSVCE","SAURO ROSSI SRL","","","","","","","","ITVCE"
"WUXZITJSU","WUXI ZITANG PACKAGING AND PRINTING CO., LTD.","","","","","","","","CNJSU"
"NAVFLESEM","NAVSUP FLEET LOGISTICS CENTER SITE SINGAPORE","","","","","","","","SGSEM"
"PETLACSGN","PETER-LACKE VIETNAM CO.,LTD","","","","","","","","VNSGN"
"FIQTRAMNL","FIQ TRADING COMPANY INC.","","","","","","","","PHMNL"
"TRENDWMNL","TRENDWELL","","","","","","","","PHMNL"
"220TAPMNL","220 TAPS N' TILES, INC.","","","","","","","","PHMNL"
"GKDTECBOH","GKD TECHNOLOGIES","","","","","","","","GBBOH"
"POPINDCCX","POPCORN INDUSTRIA E COMERCIO DE CEREAIS LTDA","","","","","","","","BRCCX"
"JCMSYSITM","JCM SYSTEMS CO., LTD.","","","","","","","","JPOSA"
"NINLANNGB","NINGBO LANGLANG CHILDREN PRODUCTS CO.,LTD","","","","","","","","CNNBO"
"CANNUCCKR","CANADIAN NUCLEAR LABORATORIES","","","","","","","","CACKR"
"HANIMPSHK","HANSOK IMPORT & EXPORT CO. LTD.","","","","","","","","CNSHK"
"ONUPERCAN","ONUGE PERSONAL CARE (GUANGDONG) MANUFACTURER GROUP CO LTD","","","","","","","","CNGGZ"
"DONWENSZX","DONGGUAN WENJUN INDUSTRIAL CO., LTD.","","","","","","","","CNSNZ"
"XIAANTCZX","XIANGLI ANTISTATIC DECORATIVE MATERIAL CO., LTD.","","","","","","","","CNCZX"
"HYLOKASIN","HY-LOK ASIA VALVES & FITTINGS PTE LTD","","","","","","","","SGSIN"
"QINEJOSHG","QINGDAO EJOY FARMING MACHINERY CO. LTD.","","","","","","","","CNSHG"
"BEACLOMNL","THE BEAUTY CLOSET INC.","","","","","","","","PHMNL"
"NGOVYJSGN","NGO VY JOINT STOCK COMPANY","","","","","","","","VNSGN"
"FLOINTMNL1","FLOATECH INT'L. INC.","","","","","","","","PHMNL"
"AOLHOMSFS","AOLLY HOME INC","","","","","","","","PHSFS"
"BERFURCRW","BERNHARDT FURNITURE COMPANY","","","","","","","","USCRW"
"MACCONCEB","MANGIN, CARLO DEAN ARCILLA","","","","","","","","PHCEB"
"ZHERUNNGB","ZHEJIANG RUNTAI AUTOMATION TECHNOLOGY CO. LTD.","","","","","","","","CNNBO"
"GUAUNIGUT","GUANGDONG UNIS TECHNOLOGY CO.,LTD","","","","","","","","CNGUT"
"TORSYSJAX","TORK SYSTEMS INC.","","","","","","","","USJAX"
"INTRECZBO","INTCO RECYCLING RESOURCES CO., LTD.","","","","","","","","CNZBO"
"FOSBLE_CN","FOSHAN BLEUJAY BATHROOM INDUSTRIAL CO LIMITED","","","","","","","","CNGUT"
"PROSUPLGB","PROACTIVE SUPPLY CHAIN GROUP LAX LL","","","","","","","","USLGB"
"DUPSPESIN","DUPONT SPECIALTY MATERIALS SINGAPORE PTE. LTD","","","","","","","","SGSIN"
"YANTAISHK","YANG TAI WIRE & CABLE CO., LTD","","","","","","","","CNSHK"
"NOALOGOPO","NOATUM LOGISTICS PORTUGAL UNIPESSOAL LDA","","","","","","","","PTOPO"
"ISANCOTPE","I SAN CONSTRUCTION CO. LTD","","","","","","","","TWTPE"
"HOTSTOMNL","HOTEL STOTSENBERG","","","","","","","","PHMNL"
"TATLYLZFT","TATE & LYLE SOLUTIONS USA LLC","","","","","","","","USZFT"
"CARSTRSRG","CARLOS STREEGAN","","","","","","","","IDSRG"
"SHAZHOSZX","SHANXI ZHONGSHENG CONSTANT MAGNETIC MATERIALS","","","","","","","","CNSZX"
"YUEFEISHG","YUEQING FEILIN TRADING CO.,LTD","","","","","","","","CNSHG"
"MATINTCAR","MATTHEWS INTL COSTA RICA SRL","","","","","","","","CRCAR"
"DONWCHCAN","DONGGUAN W.C.H TEMPER GLASS CO.,LTD","","","","","","","","CNGGZ"
"IOIESTBWH","IOI ESTERCHEM (M) SDN BHD","","","","","","","","MYBWH"
"FOSBESFOS1","FOSHAN BESTGUARD FURNITURE CO.,LTD","","","","","","","","CNFOS"
"GUASHICAN1","GUANGZHOU SHIFEI BIO-TECH CO. LTD.","","","","","","","","CNGGZ"
"WUJXUWSZH","WUJIANG XUWEI ELECTRONIC TECHNOLOGY CO., LTD.","","","","","","","","CNSZH"
"PINJINAFE","PINGYUAN JINGKE HYDRAULIC CO. LTD.","","","","","","","","CNSHL"
"HEXNUTTUT","HEXAGON NUTRITION (INTERNATIONAL) PVT LTD.","","","","","","","","INTUT"
"TECNIWMXP","TECNIWELL SRL","","","","","","","","ITMXP"
"NINSONNGB","NINGBO SONGMILE PACKAGING CO. LTD.","","","","","","","","CNNBO"
"BORGENKWN","BORICH GENERAL ELECTRIC CO., LIMITED","","","","","","","","HKKWN"
"SUPINCMNL","SUPPLIER INCALSYS METROLOGY & LABORATORY SERVICE INC.","","","","","","","","PHMNL"
"JEBJESSIN","JEBSEN & JESSEN INGREDIENTS ( S) PTE LTD.","","","","","","","","SGSIN"
"GLMCALTIJ","GLM-CALLE PACIFICO","","","","","","","","MXTIJ"
"HENSIGXIY","HENAN SIGNI VALVE CO., LTD","","","","","","","","CNXIA"
"HITHIGKCO","HITACHI HIGH - TECH SCIENTIFIC SOLUTIONS CO.LIMITED","","","","","","","","HKKCO"
"ALLTRAGES1","ALL TRANSPORT NETWORK","","","","","","","","PHGES"
"MEGMASMNL","MEGA MASTELINK FABRICATOR AND ELECTRICAL CORP","","","","","","","","PHMNL"
"ALEINDTPE","ALEXANDAVE INDUSTRIES CO. LTD","","","","","","","","TWTPE"
"ANDRITCDG","ANDRITZ SAS","","","","","","","","FRCDG"
"ABAASIMNL","ABATEK (ASIA) PUBLIC COMPANY LIMITED (HEAD OFFICE)","","","","","","","","THBKK"
"DELTICFRA","DELTICOM AG","","","","","","","","DEFRA"
"SPRSCIXMN","SPROLINK SCIENCE & TECHNOLOGY CO., LTD","","","","","","","","CNXAM"
"MALPOWMNL","MALITA POWER INC","","","","","","","","PHMNL"
"SHEHONSZXAFE","SHENZHEN HONGQDA LOGSITICS CO.,LTD","","","","","","","","CNSNZ"
"TAIINDNSA","TAIYO INDIA PV LTD","","","","","","","","INNSA"
"UNIBAKLGB","UNITED BAKERY EQUIPMENT COMPANY INC","","","","","","","","USLGB"
"HANHIKHGH","HANGZHOU HIKROBOT INTELLIGENT CO., LTD.","","","","","","","","CNHAZ"
"DURDENHAM","DURR DENTAL SE","","","","","","","","DEHAM"
"BAZEASXGA","BAZHOU EASY FURNITURE CO., LTD.","","","","","","","","CNXGA"
"SATUSAMIA","SATAIR USA, INC","","","","","","","","USMIA"
"HONKWAHKG","HON-KWANG ELECTRIC(PHILIPPINES), INC.","","","","","","","","HKHKG"
"EXPTRASELAFE","EXPO TRANS INC.","","","","","","","","KRSEL"
"SWIPHATNN","SWISS PHARMACEUTICAL CO., LTD.","","","","","","","","TWTNN"
"XINCITSHK","XINJI CITY MEIHUA LEATHER CO. LTD","","","","","","","","CNSHK"
"MACOGAMAD","MACOGA S.A.","","","","","","","","ESMAD"
"HASREDFRA","HASSIA REDATRON GMBH","","","","","","","","DEFRA"
"AIRONPBI","AIRON","","","","","","","","USPBI"
"SPAOPTJMN","SPARTA OPTOELECTRONICS CO. LTD.","","","","","","","","CNJMN"
"STASOLPOW","STARK SOLUTIONS D.O.O.","","","","","","","","SIPOW"
"EMESPZBZG","EMED SP. Z O.O. SP.","","","","","","","","PLBZG"
"VIBMINIAH","VIBRANTZ MINERALS LLC","","","","","","","","USHOU"
"EPIPHIMNL","EPIROC PHILIPPINES, INC.","","","","","","","","PHMNL"
"MODTEAQLD","MODERN TEACHING AIDS PTY LTD","","","","","","","","AUQLD"
"DSMNUTBAN","DSM NUTRITIONAL PRODUCTS MALAYSIA SDN BHD","","","","","","","","MYBAN"
"MIGINTMNL1","MIGUELITOS INT'L CORPORATION","","","","","","","","PHMNL"
"JIAHEIJMN","JIANGMEN HEIKKI TECHNOLOGY CO., LTD.","","","","","","","","CNJMN"
"LEMUSARAC","LEMAN USA INC","","","","","","","","USRAC"
"SUZZHOSUU","SUZHOU ZHONGMAOZHU CONTAINER CO.,LTD.","","","","","","","","CNSUU"
"PATRIABEA","PATRIARCHE","","","","","","","","FRBEA"
"BEACENMNL","BEARING CENTER & MACHINERY, INC.","","","","","","","","PHMNL"
"VIEADHSGN","VIETNAM ADHES PACKAGING TECHNOLOGY COMPANY LIMITED","","","","","","","","VNSGN"
"SAICLANSN","SAINT CLAIR FAMILY ESTATE","","","","","","","","NZNSN"
"DSVLHRAFE","DSV SOLUTIONS LTD","","","","","","","","GBLHR"
"AROSERTLX","AROMO SERVIEXPORT LTDA.","","","","","","","","CLTLX"
"HORFUEBER","HORIBA FUELCON GMBH","","","","","","","","DEBER"
"LEADERTRS","LEADER S.R.L.","","","","","","","","ITTRS"
"ZHOPULHEB","ZHONGHONG PULIN MEDICAL PRODUCTS CO., LTD","","","","","","","","CNHEB"
"HYUMIBSEL","HYUNDAI MIB INTERNATIONAL CO. LTD","","","","","","","","KRSEL"
"ZHEXUECNA","ZHEJIANG XUECUN REFRIGERATION EQUIPMENT CO.,LTD.","","","","","","","","CNCNA"
"HONKWAMNL","HON-KWANG ELECTRIC (PHILIPPINES) INC.","","","","","","","","PHMNL"
"BODBIKBLL","BODY BIKE INTERNATIONAL A/S","","","","","","","","DKBLL"
"QSSSAFSIN","QSS SAFETY PRODUCTS (S) PTE LTD","","","","","","","","SGSIN"
"HUMLABINC","HUMAN LAB INC.","","","","","","","","KRINC"
"PROMINLON","PROMINATE LIMITED","","","","","","","","GBLON"
"CERFOOHIS","CERES FOOTWEAR TRADING (MACAU) LIMITED","","","","","","","","CNHIS"
"EFLOGIAFE","EF LOGIS CO., LTD","","","","","","","","KRSEL"
"FRIELEFRA","FRIEDRICH ELECTRONIC GMBH & CO . KG","","","","","","","","DEFRA"
"INTMOVAFE","PT INTERNATIONAL MOVERS STORAGE","","","","","","","","IDJKT"
"EASPRESKB","EASTERN PRETECH SOLUTIONS SDN BHD","","","","","","","","MYSKB"
"LANTGDGOA","LANIFICIO TG DI FABIO SPA","","","","","","","","ITGOA"
"ENVSCOMNL","ENVIRO SCOPE SYNERGY INC","","","","","","","","PHMNL"
"SHAHIMSHA","SHANGHAI HIMMERS INDUSTRIAL & TRADING CO., LTD","","","","","","","","CNSGH"
"PEMEXPCGY","PEMLINE EXPORT TRADING COMPANY","","","","","","","","PHCGY"
"LOPMORALG","LOPEZ MORENAS SL","","","","","","","","ESALG"
"HERPUMSIN1","HERMETIC- PUMPS SINGAPORE PTE LTD.","","","","","","","","SGSIN"
"VINCONVAP","VIÑA CONCHA Y TORO S.A.","","","","","","","","CLVAP"
"CHIMETATL","CHICAGO METALLIC","","","","","","","","USATL"
"STAINTMNL","STARLINK INTERNET SERVICES","","","","","","","","PHMNL"
"ESSLUXMAO","ESSILOR LUXOTTICA","","","","","","","","BRMAO"
"APPMACMNL","APPLIED MACHINING","","","","","","","","PHMNL"
"YONTECMNL","YONGDEN TECHNOLOGY CORPORATION","","","","","","","","PHMNL"
"PGYSPEMNL","PGY SPECIALIZED GOODS TRADING","","","","","","","","PHMNL"
"TOPLIFMNL","TOP LIFEGEAR MARKETING","","","","","","","","PHMNL"
"SRYMFGMNL","SRY MFG CORP","","","","","","","","PHMNL"
"RUGJERJSU","RUGAO JERSEY TRADE CO., LTD","","","","","","","","CNJSU"
"OMIJKGMNL","OMI-JKG PHILIPPINES INC.","","","","","","","","PHMNL"
"BEITOPBJS","BEIJING TOPNEW IMPORT & EXPORT CO., LTD.","","","","","","","","CNBJS"
"JANGKWSEL","JANGKWANG CORPORATION","","","","","","","","KRSEL"
"APLLOGMNL1","APL LOGISTICS PHILS. INC (FORMERLY: APL LOGISTICS INC)","","","","","","","","PHMNL"
"HOEDOOTSN","HOERMANN TIANJIN DOOR PRODUCTION CO., LTD.","","","","","","","","CNTNJ"
"KUEYUHRMQ","KUEN YUH MACHINERY ENGINEERING CO. LTD.","","","","","","","","TWTXG"
"IMPFRAVSS","IMPECO FRANCE","","","","","","","","FRVSS"
"YOKYOSTYO","MS. YOKO YOSHIOKA","","","","","","","","JPTYO"
"MCCCITMNL","MCC-CITICORE CONSTRUCTION INC.","","","","","","","","PHMNL"
"EAGPRONGZ","EAGLE PROCESS CONTROLS CORPORATION","","","","","","","","USNGZ"
"OAKACOMAW","OAK AND ACORN CO., LTD.","","","","","","","","SCMAW"
"NOALOGHKG1","NOATUM LOGISTICS HONG KONG LIMITED","","","","","","","","HKHKG"
"KLLINGSHK","KL AND LING INTERNATIONAL INC.","","","","","","","","CNSHK"
"AIRLIQCEB","AIR LIQUIDE","","","","","","","","PHCEB"
"DOMMARAFE","DOMINGUEZ MARKETING COMMUNICATIONS INC.","","","","","","","","PHMNL"
"MAMGISSIN","MAMGISTICS PTE LTD.","","","","","","","","SGSIN"
"KATWORKUS","KATO WORKS (CHINA) LTD","","","","","","","","CNKUS"
"TRI888MNL","TRIPLE 888 INDUSTRIAL TRADING CORP.","","","","","","","","PHMNL"
"ZHUXINCAN","ZHUHAI XINHONGRUI ABRASIVES CO., LTD","","","","","","","","CNGGZ"
"ENRGIORMI","ENRICO GIOTTI SPA","","","","","","","","ITRMI"
"XIASINXMN","XIAMEN SINOCAU IMPORT & EXPORT CO.,LTD.","","","","","","","","CNXAM"
"TRAFINTLV","TRANSCLAL FINE ARTS LTD","","","","","","","","ILTLV"
"CISMERSFO","CISCO MERAKI C/O DCL ONTARIO","","","","","","","","USSFO"
"NANBUSTYO","NANZAN BUSSAN CORPORATION","","","","","","","","JPTYO"
"ANHHESSHA","ANHUI HESHUN ENVIRONMENTAL TECHNOLOGY GROUP CO., LTD","","","","","","","","CNSHA"
"KEVCERSUB","KEVALA CERAMICS","","","","","","","","IDSUB"
"QUAMEDLYS","QUANTEL MEDICAL","","","","","","","","FRLYS"
"SHELINAFE","SHENZHEN LIN MINGHANG TRADING CO., LTD","","","","","","","","CNXIQ"
"SPAVITMNL","SPARK AND VITALICY AESTHETIC CORP.","","","","","","","","PHMNL"
"WINENGSIN","WINSTON ENGINEERING CORPORATION (PTE) LTD","","","","","","","","SGSIN"
"TREINDMNL","TRENER INDUSTRIES (PHILIPPINES), INC","","","","","","","","PHMNL"
"AYTPOUISL","AYTAV POULTRY EQUIPMENT","","","","","","","","TRIST"
"PRIPACMNL1","PRIME PACIFIC FOODS CORPORATION","","","","","","","","PHMNL"
"SHEDAYCAN","SHENZHEN DAYITONG TRADING CO.,LTD","","","","","","","","CNCAN"
"TAIFEIWEN","TAIZHOU FEIDA MACHINE TOOL CO.,LTD","","","","","","","","CNWEN"
"DISHEAFBD","DISPOSAFE HEALTH AND LIFE CARE LTD.","","","","","","","","INFBD"
"CARGONAFE","CARGONET LTD","","","","","","","","CHBSL"
"FOSXINHKG","FOSHAN XINGON STEADY ALUMINUM COMPANY LIMITED","","","","","","","","HKHKG"
"FORTNLRTM","FORTO NL B.V.","","","","","","","","NLRTM"
"AFONEWAFE","AFORE NEW ENERGY TECHNOLOGY (SHANGHAI) CO., LTD","","","","","","","","CNSGH"
"EXTELESZX","EXTENSION ELECTROMECHANICAL EQUIPMENT (HK) COMPANY LIMITED","","","","","","","","CNSNZ"
"TUVBERJKT","PT. TUVITI BERKAH MANDIRI","","","","","","","","IDJKT"
"OCMRECGE2","O.C.M RECANZONE SRL","","","","","","","","ITGE2"
"AYNNUYAFE","AYNI NUYDA","","","","","","","","PHMNL"
"EURTECMNL","EURONET TECHNOLOGY SERVICES INC.","","","","","","","","PHMNL"
"CRETRASHE","CRESYN TRADING (DONGGUAN) CO.,LTD","","","","","","","","CNSHE"
"SHAHANTPE","SHAKE HANDS MACHINERY CO LTD","","","","","","","","TWTPE"
"EVERAICHF","EVERAID CO., LTD.","","","","","","","","KRCHF"
"MAVSYSDFW","MAVENIER SYSTEMS INC","","","","","","","","USDAL"
"PAJUNKZGB","PAJUNK GMBH","","","","","","","","DEZGB"
"EPISOUJKT","PT EPIROC SOUTHERN ASIA","","","","","","","","IDJKT"
"GDWINFSZX","GD WINFAIR","","","","","","","","CNSNZ"
"GOTTECSHA","GOTHA TECHNOLOGY (SUZHOU) CO., LTD","","","","","","","","CNSHA"
"THETECTPE","THERMALTAKE TECHNOLOGY CO., LTD","","","","","","","","TWTPE"
"TRAUSAMIS","TRAKKA USA LLC","","","","","","","","USMIS"
"BAUBRAORD","BAUDVILLE BRANDS","","","","","","","","USORD"
"STAPACSIL","STARKSON PACKAGING INC.","","","","","","","","PHSIL"
"ONETRAAFE","ONEASIA TRADER","","","","","","","","PHMNL"
"BODLOZALB","BODEGAS LOZANO","","","","","","","","ESALB"
"ATLSPZBZG","ATLAS GROUP SP. Z O.O","","","","","","","","PLBZG"
"MISTRANYC","MISSION TRADING AND MANAGEMENT, CO.","","","","","","","","USNYC"
"CHAVISHIF","CHARITY VISION INTERNATIONAL","","","","","","","","USHIF"
"SHAYUESHG","SHANGHAI YUECHEN MEDICAL SUPPLY CO. LTD","","","","","","","","CNSHG"
"SHADOMTAO","SHANDONG DOM MACHINERY EQUIPMENT","","","","","","","","CNQIN"
"SYNPHIMNL1","SYNETCOM PHILIPPINES INC","","","","","","","","PHMNL"
"WEVCHEFRA","WEVO CHEMIE GMBH","","","","","","","","DEFRA"
"LAMOYJPOR","LAMOR CORPORATION OYJ","","","","","","","","FIPOR"
"CAMHUMICN","CAMP HUMPHREYS","","","","","","","","KRICN"
"EVECOMHGH","EVERICH COMMERCE GROUP LIMITED","","","","","","","","CNHAZ"
"KANREIKNZ","KANOU REIKI CO., LTD","","","","","","","","JPKNZ"
"THERMOADT","THERMOGREEN SL","","","","","","","","ESADT"
"LANPLACAN","LANDY GUANGZHOU PLASTIC PRODUCTS CO., LTD.","","","","","","","","CNGGZ"
"KUENAGSIN","KUEHNE + NAGEL PTE. LTD.","","","","","","","","SGSIN"
"YANSHICAN","YANGJIANG SHI BA ZI KITCHEN WARE MANUFACTURING CO.LTD","","","","","","","","CNGGZ"
"XRUSTSYD","X-RUST","","","","","","","","AUSYD"
"TOPSYSNYC","TOPAIR SYSTEMS INC","","","","","","","","USNYC"
"GUASUNGOM","GUANGDONG SUNRISE ENVIRONMENTAL PROTECTION MATERIALS CO. LTD","","","","","","","","CNGOM"
"AUSUSAMOB","AUSTAL USA","","","","","","","","USMOB"
"MGLGLOPKG","MGL GLOBAL LOGISTICS SDN. BHD","","","","","","","","MYPKG"
"RIZPORRZH","RIZHAO PORT SHIPBUILDING & MACHINERY INDUSTRY CO. , LTD","","","","","","","","CNRZH"
"AMEMETMDW","AMERICAN METALCRAFT INC.","","","","","","","","USCHI"
"DTGLOBSHA","DT GLOBAL FREIGHT SDN BHD","","","","","","","","MYSHA"
"HUNDRI","HUNAN DRILLMASTER ENGINEERING TECHNOLOGY CO., LTD.","","","","","","","","CNSHA"
"FLORUBIXD","FLOORATEX RUBBER AND PLASTICS (P) LTD.","","","","","","","","INIXD"
"QXTRUSLBU","QX TRUST CO. LTD","","","","","","","","MYLBU"
"QINFLOQDG","QINGDAO FLORESCENCE MARINE SUPPLY CO. LTD.","","","","","","","","CNQDG"
"ALTFAIMNL1","ALTA FAIRS AND EXHIBITS CORPORATION","","","","","","","","PHMNL"
"HEBBAOXGA","HEBEI BAOFENG STEEL STRUCTURE CO., LTD.","","","","","","","","CNXGA"
"QINLAFTAO","QINGDAO LAF TECHNOLOGY CO., LTD.","","","","","","","","CNQIN"
"GORRUPGQQ","THE GORMAN - RUPP COMPANY","","","","","","","","USGQQ"
"JOHCONSIN","JOHNSON CONTROLS (S) PTE LTD","","","","","","","","SGSIN"
"IBCOMMIXY","IB COMMUNICATION","","","","","","","","INIXY"
"JIAHONZUH","JIANGXI HONGDA MEDICAL EQUIPMENT GROUP LTD.IMP.AND EXP.BRANCH","","","","","","","","CNZUH"
"UNIPROMNL","UNIMEX PROCESS & ENERGY GROUP INC","","","","","","","","PHMNL"
"PANENEJSU","PANASONIC ENERGY (WUXI) CO.,LTD.","","","","","","","","CNJSU"
"SOUISLCVE","SOUTHERN ISLANDS ENTERPRISES INC","","","","","","","","PHCVE"
"EPIDRIIAH","EPIROC DRILLING SOLUTIONS LLC","","","","","","","","USHOU"
"HDFIREBOM","HD FIRE PROTECT PVT LTD","","","","","","","","INBOM"
"NANJACSHG","NANJING JACKPOT MACHINERY AND TOOLS CO. LTD.","","","","","","","","CNSHG"
"DESYBOJER","DESTILADORES Y BODEGUEROS, S.L.","","","","","","","","ESJER"
"CCJENSSVE","C.C. JENSEN A/S","","","","","","","","DKSVE"
"SUZGERSHA","SUZHOU GERPMAN INDUSTRIAL CO LTD","","","","","","","","CNSGH"
"CONELEDEL","CONNECTICUT ELECTRIC INC","","","","","","","","INDEL"
"SHAJINSHA1","SHANGHAI JING LAN INDUSTRIAL CO., LTD.","","","","","","","","CNSGH"
"JSFRA","JS GROUP GMBH","","","","","","","","DEFRA"
"GOLCUPBKK","GOLDEN CUP PHARMACEUTICAL CO., LTD.","","","","","","","","THBKK"
