"Code","Shipper Name","Exporter Category","Default Currency","Country","Default Incoterm","Primary Address","Pick Address","Primary Contact","Default UNLOCO"
"SENSOLMNL","SENJU SOLDER (PHILS.) INC.","","","","","","","","PHMNL"
"SUMMUREWR","SUMMURI LLC","","","","","","","","USEWR"
"ELBSYSYKN","ELBIT SYSTEMS LAND LTD.","","","","","","","","ILYKN"
"MACBUIGGE","MACHINE BUILDERS AND DESIGN","","","","","","","","USGGE"
"AQIQUIUBT","AQIA QUIMICA INOVATIVA LTDA","","","","","","","","BRUBT"
"SCECOMAUH","SCENT COMMUNITY PERFUMES","","","","","","","","AEAUH"
"LIOFARMNL","LIONHEART FARMS (PHILIPPINES) CORPORATION","","","","","","","","PHMNL"
"INJASOMZA","INJECTA S.R.L. A SOCIO UNICO","","","","","","","","ITMZA"
"SYAPERKUL","SYARIKAT PERNIAGAAN KEMAJUAN INT. SDN BHD","","","","","","","","MYKUL"
"ZIEABEDLE","ZIEHL- ABEGG SE HEINZ- SE","","","","","","","","DEDLE"
"VALINDSHA","VALMONT INDUSTIRES (CHINA) LTD.","","","","","","","","CNSGH"
"BALEMAGYY","BALEMASTER","","","","","","","","USGYY"
"KORFLOICN","KOREA FLOWMETER IND.CO.,LTD","","","","","","","","KRICN"
"ANTALALHR","ANTALA LTD","","","","","","","","GBLHR"
"EURTHABKK","EUREMO (THAILAND) LIMITED","","","","","","","","THBKK"
"JASGALMNL","JASON GALANG ATIENZA","","","","","","","","PHMNL"
"VERISTAFE","VERA LOGISTICS","","","","","","","","TRIST"
"SMTMALSZX","SMT MALLS ELECTRONICS TECHNOLOGY (HK) LIMITED","","","","","","","","CNSNZ"
"TOTINTSHA","TOTEK INTERNATIONAL CORPORATION LIMITED","","","","","","","","CNSHA"
"GEBMASFRA","GEBR.BELLMER GMBH MASCHINENFABRIK","","","","","","","","DEFRA"
"SINHUBSUU","SINOTRUCK HUBEI HUAWIN SPECIAL VEHICLE CO. LTD.","","","","","","","","CNSUU"
"PERRICACA","PERNOD RICARD MEXICO S.A. DE C.V.","","","","","","","","MXACA"
"CONOPTMNL1","CONTOUR OPTIK PHILIPPINE INC","","","","","","","","PHMNL"
"KCGPUBBKK","KCG CORPORATION PUBLIC COMPANY LIMITED","","","","","","","","THBKK"
"DEESOLYTO","DEEPCHILL SOLUTIONS INC.","","","","","","","","CATOR"
"SAMMQUMFM","SAMMQUATTRO MACAU COMPANY LTD.","","","","","","","","MOMFM"
"GABMARAFE","GABIN MARCEL INDIA PRIVATE LIMITED","","","","","","","","INDEL"
"ASDIOTTPE","ASDA IOT CO LTD.","","","","","","","","TWTPE"
"ATMMEDLZK","ATMOS MEDIZINTECHNIK GMBH & CO. KG","","","","","","","","DELZK"
"MANENGPNQ","MANIK ENGINEERS","","","","","","","","INPNQ"
"FUJJIUSZX","FUJIAN JIUPO BIOTECHNOLOGY CO. LTD.","","","","","","","","CNSNZ"
"BARGLOCVT","BARSAN GLOBAL LOGISTICS LTD","","","","","","","","GBCVT"
"DSHGLOPIS","DSH GLOBAL LOGISTICS","","","","","","","","ATPIS"
"SOUNDBCAN","SOUNDBOX INC","","","","","","","","CNGGZ"
"TIAMECSHA","TIANHE MECHANICAL EQUIPMENT MANUFACTURING CO., LTD.","","","","","","","","CNSHA"
"SCHENGPUW","SCHWEITZER ENGINEERING LABORATORIES","","","","","","","","USPUW"
"TSUELEBIN","TSUKIDEN ELECTRIC INDUSTRIES PHILIPPINES INC","","","","","","","","PHBIN"
"SHOAWEDVO","SHOCK AND AWE INDUSTRIAL CORP.","","","","","","","","PHDVO"
"XIALIBXIY","XI'AN LIBANG PHARMACEUTICAL CO., LTD.","","","","","","","","CNXIA"
"FOSBBTTAO","FOSHAN BBT IMPORT AND EXPORT","","","","","","","","CNQIN"
"PROCURLAX","PROJECT C.U.R.E.","","","","","","","","USLAX"
"VIBTECSEK","VIBRANTZ TECHNOLOGIES (M) SDN BHD","","","","","","","","MYSEK"
"SANTECITM","SANSEI TECHNOLOGIES INC.","","","","","","","","JPOSA"
"LOGIS7AFE","LOGISTICS24-7 GMBH","","","","","","","","DEFRA"
"MANROPMNL","MANILA ROPE ABACA","","","","","","","","PHMNL"
"RINNAINGO","RINNAI CORPORATION","","","","","","","","JPNGO"
"BAOZUNHPH","BAO ZUN VIET NAM CO., LTD","","","","","","","","VNHPH"
"KERKUNNUE","KERLING KUNSTSTOFFTECNHIK GMBH","","","","","","","","DENUE"
"KUAHAILPK","KUAN HAI SDN BHD,","","","","","","","","MYLPK"
"BASUSMMNL","BASSAB US MILITARY VMU 1","","","","","","","","PHMNL"
"QUAINTIEV","QUADRO INTERNATIONAL LLC","","","","","","","","UAIEV"
"PAKTECMKE","PAK TECH","","","","","","","","USMKE"
"MONVGLGOA","MONDIALE VGL S.P.A","","","","","","","","ITGOA"
"JEHTRADVO","JEHU TRADING CORP.","","","","","","","","PHDVO"
"HANHIKSHA","HANGZHOU HIKSTORAGE TECHNOLOGY CO., LTD.","","","","","","","","CNSHA"
"OTTBARNYC","OTTERBINE BAREBO","","","","","","","","USNYC"
"CSPANEBWH","CS PANEL SDN. BHD","","","","","","","","MYBWH"
"HENVICXIY","HENAN VIC MACHINERY CO., LTD.","","","","","","","","CNXIA"
"MICARTAFE","MICHELLE ART SERVICES","","","","","","","","HKHKG"
"GUATAVSHK","GUANGDONG TAVIC LIGHTING CO. LTD.","","","","","","","","CNSHK"
"ADVSUPAFE","ADVANCE SUPPORT JAPAN INC.","","","","","","","","JPTYO"
"JINBANAFE","JINGZHOU BANGTE MACHINERY CO., LTD","","","","","","","","CNJGZ"
"ZHOCHUCAN","ZHONGSHAN CHUZHILE BATH & KITCHEN PRODUCTS CO.,LTD","","","","","","","","CNGGZ"
"WINLOGMNL1","WINTEX LOGISTICS CORPORATION","","","","","","","","PHMNL"
"JEITECKUV","JEIO TECH CO., LTD.","","","","","","","","KRKUV"
"YANBONSAD","YANTAI BONWAY MANUFACTURER CO.,LTD","","","","","","","","CNSAD"
"MALNYCAFE","MALCA-AMIT USA, LLC - NEW YORK","","","","","","","","USNYC"
"ZHOUPENSA","ZHONGSHAN U PERFECT MANUFACTURING COMPANY","","","","","","","","CNNSA"
"DAEVIESGN","DAESANG VIET NAM CO., LTD - HAI DUONG BRANCH","","","","","","","","VNSGN"
"KYLECEB","A&B KYLE HOLDINGS INC.","","","","","","","","PHCEB"
"SOLINDBUN","SOLARFOAM INDUSTRIAL CORPORATION","","","","","","","","PHBUN"
"GPSGLOAFE","GPS GLOBAL","","","","","","","","NLALB"
"APABATBKK","APAISER BATHWARE (THAILAND) COMPANY LIMITED","","","","","","","","THBKK"
"WELCOMMNL","WELLSPRING COMMERCIAL OPC","","","","","","","","PHMNL"
"PERSTAIZM","PERGAMON STATUS DIS TICARET AS","","","","","","","","TRIZM"
"3PVERTHAM","3P VERTRIEBSGESELLSCHAFT MBH","","","","","","","","DEHAM"
"BUHCHABIO","BUHLER (CHANGZHOU) MACHINERY CO., LTD","","","","","","","","CNGGZ"
"ALLTECSDF","ALLTECH INC","","","","","","","","USLUI"
"KEMINTBLR","KEMPEGOWDA INTERNATIONAL AIRPORT","","","","","","","","INBLR"
"ANJDEKZHE","ANJI DEKA OFFICE SYSTEMS CO.,LTD.","","","","","","","","CNZHE"
"NATMACBNA","NATIONAL MACHINE PRODUCTS","","","","","","","","USBNA"
"NARMANBAN","NARDI MANUFACTURING (M) SDN BHD","","","","","","","","MYBAN"
"INTBURB6T","INTERSTUHI BUROMOBEL GMBH & CO. KG","","","","","","","","DEB6T"
"GUATIECAN","GUANGZHOU TIEGE TRADING CO.,LTD.","","","","","","","","CNGGZ"
"MTCTEXRMQ","MTC TEXTILE CO., LTD","","","","","","","","TWTXG"
"TAKMANSTM","TAKEUCHI MANUFACTURING CO.,LTD.","","","","","","","","JPSTM"
"NABSALJHB","NABILA SALIM","","","","","","","","MYJHB"
"FOSSHELSS","FOSHAN SHENGRUI BUILDING MATERIALS CO LTD","","","","","","","","CNLSS"
"AENTSEL","AENT","","","","","","","","KRSEL"
"KWILOGTAO1","KWISE LOGISTICS(SHANDONG)CO.LTD","","","","","","","","CNQIN"
"EPEQUISZV","EP EQUIPMENT CO.,LTD.","","","","","","","","CNSZH"
"TURBOPBUF","TURBOPRO INC.","","","","","","","","USBUF"
"KLOTHEDTM","KLOPPER-THERM GMBH","","","","","","","","DEDTM"
"BIOTESAFE","BIOTESTLAB LLC","","","","","","","","UAODS"
"SECDISNBR","SECURITON AG DISTRIBUTION HEKATRON TECH","","","","","","","","DENBR"
"SHEYOHAFE","SHENZHEN YOHOO INTERNATIONAL LOGISTICS CO., LTD.","","","","","","","","PHMNL"
"NSTAPPSIN","NST APPAREL (SG) PTE. LTD","","","","","","","","SGSIN"
"WORITAGOA","WORK ITALIA S.R.L.","","","","","","","","ITGOA"
"MARTOLTPZ","MARELLI TOLUCA MEXICO","","","","","","","","MXTPZ"
"COPCLIJSU","COPELAND CLIMATE TECHNOLOGIES (SUZHOU) CO., LTD","","","","","","","","CNJSU"
"SANLOMLCO","SANTA LOMA SPA","","","","","","","","CLLCO"
